,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-06-23 09:00:00,313.485,249.2099,143.67,365.76,202.67,382.7871,105.04,59.57,129.41,52.92100000000001,83.01
1,2020-06-23 10:30:00,313.76,250.2348,143.53,368.3599,203.0327,385.11,105.38,59.38,129.83,52.728,83.01
2,2020-06-23 12:00:00,314.2196,250.8475,143.58,371.285,203.6,383.7,105.72,59.33,130.0,53.13,83.07
3,2020-06-23 13:30:00,313.4,249.96,143.685,369.1,202.59,380.33,105.16,59.17,129.88,53.245,82.985
4,2020-06-23 15:00:00,311.96,248.72,142.985,366.7,201.78,377.94,104.62,58.89,129.4,53.37,82.935
