,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-12-29 09:00:00,382.26,265.47,173.7885,129.3342,238.69,144.52,124.11,74.95,128.95,67.23,73.05
1,2022-12-29 10:30:00,383.93,267.11,175.1501,130.09,240.7999,146.36,124.83,75.0435,129.68,67.625,73.415
2,2022-12-29 12:00:00,383.61,266.45,175.015,129.5249,240.5301,146.01,124.6,75.09,129.16,67.735,73.425
3,2022-12-29 13:30:00,383.56,266.435,174.62,129.785,240.92,145.22,124.6,75.03,129.385,67.536,73.515
4,2022-12-29 15:00:00,383.415,266.58,174.84,129.58,241.0,145.98,124.61,74.94,129.53,67.53,73.59
