,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-02-14 09:00:00,439.04,348.11,201.398,168.4698,293.4999,244.74,154.97,74.59,181.52,86.6723,82.64
1,2022-02-14 10:30:00,440.145,349.64,202.06,168.84,295.6489,247.31,155.48,74.53,183.21,87.23,82.635
2,2022-02-14 12:00:00,439.95,348.64,201.28,168.975,295.53,243.6301,155.265,74.87,182.6,86.76,82.5
3,2022-02-14 13:30:00,438.12,347.05,201.11,168.18,294.22,242.38,154.48,74.74,181.37,86.54,82.48
4,2022-02-14 15:00:00,438.91,347.48,200.6,168.67,295.03,242.64,154.77,75.03,181.42,86.36,82.51
