,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-03-22 09:00:00,391.41,317.33099999999996,224.92,122.16,234.23,524.425,131.145,66.51,166.92,86.51,86.32
1,2021-03-22 10:30:00,392.38,318.7984,225.25,122.3,235.8695,529.545,131.735,66.445,167.5135,86.085,86.41
2,2021-03-22 12:00:00,392.995,319.79,225.32,123.055,236.36,533.0525,132.14,66.57,168.08,86.1101,86.429
3,2021-03-22 13:30:00,393.7616,320.4387,226.38,123.7909,236.43,533.5,132.4,66.57,168.53,86.255,86.46
4,2021-03-22 15:00:00,392.59,318.68,225.19,123.31,236.01,527.59,131.88,66.75,167.3,85.846,86.395
