,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-08-24 09:00:00,413.24,314.99,192.18,167.15,276.0,171.255,143.54,75.83,164.58,76.77,76.44
1,2022-08-24 10:30:00,414.7,316.38,192.85,167.57,277.0,173.5,144.09,76.075,165.34,76.91,76.4
2,2022-08-24 12:00:00,412.58,314.48,192.035,167.185,275.52,171.5412,143.35,75.685,164.28,76.43,76.28
3,2022-08-24 13:30:00,413.38,315.15,192.43,167.77,276.16,172.03,143.67,75.86,164.34,76.5276,76.315
4,2022-08-24 15:00:00,413.53,314.9,192.41,167.48,275.69,172.15,143.62,75.97,163.98,76.7,76.36
