,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-09-02 09:00:00,400.33,302.39,183.15,160.0925,263.3686,140.07,136.2,74.31,158.36,72.87,75.045
1,2022-09-02 10:30:00,401.175,302.72,183.84,159.785,263.3948,139.97,136.31,74.21,158.89,73.3693,74.965
2,2022-09-02 12:00:00,393.49,295.94,180.19,156.4,257.675,136.641,133.31,72.84,155.52,72.2,74.45
3,2022-09-02 13:30:00,392.615,295.15,180.2519,155.9742,256.19,136.85,132.96,72.79,155.42,72.2577,74.32
4,2022-09-02 15:00:00,392.26,295.22,180.1,155.89,256.19,136.47,132.9,72.65,155.62,71.98,74.33
