,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-09-01 09:00:00,452.235,382.06,226.09,154.7,304.145,225.565,159.83,72.27,183.96,85.76,87.84
1,2021-09-01 10:30:00,452.37,382.1517,226.8,154.4986,303.3817,224.55,159.68,72.505,184.02,86.33,87.845
2,2021-09-01 12:00:00,452.98,382.32,227.825,153.9299,303.26,224.925,159.69,72.67,184.31,86.69,87.8919
3,2021-09-01 13:30:00,452.325,381.3799,227.53,152.8801,302.76,224.16,159.25,72.65,184.11,86.5,87.845
4,2021-09-01 15:00:00,451.76,380.54,227.4664,152.47,301.695,224.36,158.83,72.63,183.63,86.37,87.865
