,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-12-28 09:00:00,477.92,403.11,225.07,179.195,341.952,305.587,176.1,76.32,205.81,94.945,87.19
1,2021-12-28 10:30:00,478.0492,403.17,223.53,180.52,342.71,303.48,176.4,76.425,206.15,94.57,87.13
2,2021-12-28 12:00:00,476.88,401.79,223.14,179.94,341.56,301.63,175.81,76.38,205.52,94.45,87.14
3,2021-12-28 13:30:00,476.9601,401.7006,223.46,179.4841,341.43,304.2981,175.82,76.4,205.38,94.605,87.16
4,2021-12-28 15:00:00,476.85,401.66,222.71,179.36,341.48,303.04,175.72,76.5,205.28,94.35,87.19
