,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-08-24 09:00:00,342.06,283.8,155.545,502.8,214.9974,506.89,118.96,64.42,147.81,59.6747,85.0
1,2020-08-24 10:30:00,341.77,283.35900000000004,155.5317,508.11,213.715,507.66,119.01,64.47,148.07,60.0158,84.905
2,2020-08-24 12:00:00,341.82,283.19,155.5,505.17,213.28,508.24,118.73,64.69,148.115,59.7,84.94
3,2020-08-24 13:30:00,341.51,282.28,155.545,501.73900000000003,212.695,507.08,118.34,64.715,147.58,59.79,84.955
4,2020-08-24 15:00:00,342.96,283.63,156.24,503.8,213.7,508.59,118.98,64.83,148.42,60.0445,85.14
