,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-07-12 09:00:00,436.43300000000005,361.49,225.69,144.61,277.13,811.41,150.96,70.06,183.6,84.35,87.99
1,2021-07-12 10:30:00,436.6,361.82,226.07,144.9128,277.29,816.205,151.335,69.82,183.14,84.33,87.96
2,2021-07-12 12:00:00,436.68,361.51099999999997,225.78,144.553,277.1899,813.81,151.07,70.01,183.32,84.1899,87.915
3,2021-07-12 13:30:00,436.88,362.0025,226.63,144.744,277.433,815.8162,151.205,69.945,183.71,84.44,87.975
4,2021-07-12 15:00:00,437.09,362.45,226.58,144.55,277.325,820.63,151.33,70.04,183.74,84.47,87.96
