,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-05-16 09:00:00,401.6149,301.405,179.34,146.555,258.56,177.7201,135.23,76.84,151.58,77.21,76.77
1,2022-05-16 10:30:00,401.36,300.39,178.65,146.57,260.2757,174.96,135.19,77.23,150.14,76.702,76.82
2,2022-05-16 12:00:00,402.19,300.35,178.55,146.605,262.42,175.27,135.61,77.49,149.8377,76.4937,76.775
3,2022-05-16 13:30:00,402.94800000000004,301.24,178.32,146.93,264.1,175.82,135.95,77.5,150.44,76.77,76.745
4,2022-05-16 15:00:00,400.2501,298.62,177.24,145.6,261.75,172.615,134.7,77.31,149.11,75.99,76.69
