,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-03-09 09:00:00,425.8,332.38,199.53,161.37,284.82,228.8301,147.98,72.93,168.86,83.71,81.92
1,2022-03-09 10:30:00,427.4,333.26,200.61,162.005,285.015,227.2675,148.32,73.42,168.59,83.8087,82.059
2,2022-03-09 12:00:00,428.28,334.89,200.82,162.27,286.81,230.5901,149.18,73.35,169.44,84.2035,82.15
3,2022-03-09 13:30:00,427.28,334.55,200.21,162.5593,287.47,230.9,149.07,73.15,168.95,83.81,82.155
4,2022-03-09 15:00:00,427.085,334.82,200.19,162.85,288.2,230.07,149.18,72.94,168.65,83.94,82.2
