,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-08-30 09:00:00,400.14,302.31,185.75,160.1399,263.79,155.56,137.11,74.07,158.08,73.5211,75.01
1,2022-08-30 10:30:00,398.74,300.82,184.93,159.2,262.67900000000003,154.5398,136.48,73.93,157.11,73.95,75.05
2,2022-08-30 12:00:00,397.09,299.2193,183.84,158.29,261.38,152.255,135.759,73.79,155.71,73.6,75.02
3,2022-08-30 13:30:00,397.3,299.825,184.2,158.44,261.89,153.39,136.08,73.59,156.23,73.86,74.995
4,2022-08-30 15:00:00,398.26,301.12,184.66,159.0297,263.085,154.89,136.62,73.55,157.075,73.9,74.99
