,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-07-26 09:00:00,439.44,367.8882,221.63,149.15,286.77,194.03,153.96,71.26,183.88,83.2945,87.9181
1,2021-07-26 10:30:00,440.72,368.7299,219.96,149.51,288.52,193.06,154.54,71.51,184.51,83.09,87.935
2,2021-07-26 12:00:00,440.44,368.46,219.77,149.4,288.811,192.1808,154.39,71.515,184.63,83.05,87.825
3,2021-07-26 13:30:00,440.61,368.49,219.69,149.47,289.51,191.61,154.615,71.605,184.24,83.24,87.79
4,2021-07-26 15:00:00,440.97,368.505,220.32,148.99,289.11,193.08,154.47,71.53,184.605,83.51,87.83
