,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-11-17 09:00:00,359.4382,292.585,174.865,119.8484,216.31,539.21,121.81,67.67,153.84,67.5,85.74
1,2020-11-17 10:30:00,360.79,292.68,176.71900000000002,120.205,215.77,536.61,121.94,67.86,154.425,68.24,85.8519
2,2020-11-17 12:00:00,361.41,293.6,177.98,120.4719,215.91,536.32,122.235,67.95,155.03,68.355,86.02
3,2020-11-17 13:30:00,361.51,292.975,178.57,119.99,215.03,536.08,122.03,67.99,155.26,68.556,86.042
4,2020-11-17 15:00:00,360.52,292.035,178.26,119.365,214.46,536.38,121.67,67.66,154.79,68.51,85.955
