,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-02-28 09:00:00,288.075,200.52,145.38,263.2344,156.94,253.635,85.57,56.43,113.72,54.25,85.07
1,2020-02-28 10:30:00,291.51,203.47,146.37,270.1,159.34,264.7,87.16,57.38,114.51,54.8211,85.54
2,2020-02-28 12:00:00,292.78,203.7701,146.26,270.33,160.41,261.6,87.37,57.67,114.75,55.0,85.84
3,2020-02-28 13:30:00,291.72,203.06,145.54,269.04,159.0511,261.145,86.93,57.55,114.17,54.6595,85.81
4,2020-02-28 15:00:00,293.77,205.32,146.611,272.59,161.605,267.99,87.905,57.675,115.18,55.0,86.045
