,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-07-17 09:00:00,320.09,257.52,145.785,383.8863,201.76,404.9299,106.03,61.51,133.45,55.9901,83.26
1,2020-07-17 10:30:00,321.37,258.98,147.24,386.705,202.25,407.54,106.64,61.555,133.83,56.1401,83.3001
2,2020-07-17 12:00:00,321.4211,258.95,146.85,386.065,202.4903,406.51,106.61,61.625,133.64,56.0129,83.28
3,2020-07-17 13:30:00,322.01,259.84,146.56,385.69,202.9026,409.1501,106.92,61.54,134.02,56.06,83.48
4,2020-07-17 15:00:00,321.7,259.39,146.59,385.4,202.87,408.05,106.83,61.57,133.84,56.19,83.52
