,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2023-01-04 09:00:00,381.56,263.675,174.92,125.96,227.105,143.5135,122.74,74.3,128.85,67.77,74.12
1,2023-01-04 10:30:00,385.47,266.93,176.57,127.74,228.815,146.75,124.09,74.905,130.8,68.455,74.375
2,2023-01-04 12:00:00,384.81,266.4,176.24,127.26,228.83,147.195,123.975,74.765,130.71,68.43,74.38
3,2023-01-04 13:30:00,383.25,265.71,175.84,126.475,228.1204,147.7,123.44,74.33,130.33,68.49,74.41
4,2023-01-04 15:00:00,383.85,265.8501,175.59,126.42,229.22,147.59,123.63,74.58,130.25,68.44,74.61
