,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-08-10 09:00:00,443.08,368.07,222.35,146.925,288.01,201.78,154.04,71.66,181.43,83.8874,87.18
1,2021-08-10 10:30:00,443.035,366.85,222.77,145.62,285.8301,199.74,153.14,71.72,181.66,84.65,87.185
2,2021-08-10 12:00:00,442.87,366.97,223.11,145.57,285.63,200.17,153.09,71.595,182.03,84.88,87.1
3,2021-08-10 13:30:00,442.85,367.0201,222.72,145.705,286.27,200.23,153.345,71.69,181.64,84.86,87.045
4,2021-08-10 15:00:00,442.63,366.82,222.63,145.57,286.47,199.35,153.23,71.72,181.47,84.585,87.0
