,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-07-31 09:00:00,322.82,262.1,145.78,406.06,199.53,419.18,107.92,62.43,136.44,53.7999,85.01
1,2020-07-31 10:30:00,323.28,263.15,145.215,410.3502,201.215,423.6389,108.685,62.27,136.54,53.6,85.0
2,2020-07-31 12:00:00,322.73,262.58,145.8,411.505,201.15,420.8262,108.62,62.0,136.17,53.35,85.125
3,2020-07-31 13:30:00,323.9,263.51,146.2,416.64,202.58,421.54699999999997,109.23,62.13,136.3,53.6897,85.25
4,2020-07-31 15:00:00,326.46,265.73,147.3,425.1599,204.989,424.25,110.43,62.69,136.97,54.5,85.39
