,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-08-25 09:00:00,342.77,283.36,155.63,493.745,215.31,506.29,118.74,64.56,148.15,59.85,85.025
1,2020-08-25 10:30:00,342.69,284.3311,155.01,495.86,215.18,507.0,118.86,64.55,148.44,59.56,84.965
2,2020-08-25 12:00:00,343.31,284.835,155.76,496.84,215.185,507.38,119.06,64.605,148.82,59.65,85.119
3,2020-08-25 13:30:00,343.755,285.39,156.17,496.59,216.1163,507.87,119.24,64.66,148.78,59.7513,85.115
4,2020-08-25 15:00:00,344.09,285.81,156.4,499.3,216.47,510.09,119.57,64.73,148.85,59.88,85.2
