,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-04-25 09:00:00,422.78,326.3,190.91,160.92,277.01,196.67,143.295,78.46,175.1,82.44,79.45
1,2022-04-25 10:30:00,419.82,323.2,189.81,158.92,274.05,192.78,141.98,78.39,173.95,82.33,79.3128
2,2022-04-25 12:00:00,423.03,325.95,191.86,160.14,277.37,194.88,143.23,78.82,175.44,83.16,79.6
3,2022-04-25 13:30:00,425.5068,327.315,192.77,161.4293,278.3,196.0,143.97,79.2,175.96,83.8,79.765
4,2022-04-25 15:00:00,428.5,329.71,193.88,163.03,280.86,199.17,145.25,79.61,177.14,83.96,79.94
