,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-09-17 09:00:00,443.17,375.39,221.61,147.06,301.69599999999997,221.282,156.15,71.625,184.94,86.4701,88.045
1,2021-09-17 10:30:00,442.325,373.651,221.66,146.42,300.39,220.2001,155.64,71.58,184.19,86.3,88.01
2,2021-09-17 12:00:00,442.0799,373.8501,221.88,146.3031,300.29,220.31,155.64,71.545,184.4,86.125,88.025
3,2021-09-17 13:30:00,441.65,373.5,221.295,146.145,300.23,220.3,155.56,71.585,184.01,85.729,88.005
4,2021-09-17 15:00:00,441.55,373.91,222.37,146.08,300.01,218.83,155.51,71.37,184.15,85.85,88.0
