,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-03-23 09:00:00,447.51,355.03,205.56,170.27,301.77,261.59,155.49,74.53,184.41,88.78,81.75
1,2022-03-23 10:30:00,447.77,356.955,206.89,171.7525,302.23,265.59,156.31,73.9171,184.95,89.06,81.985
2,2022-03-23 12:00:00,445.0899,353.27,204.7751,171.7908,300.81,259.2926,155.15,74.05,182.29,88.0723,81.77
3,2022-03-23 13:30:00,445.3,353.23,204.33,171.74,300.83,258.91,155.01,74.09,182.5,88.2391,81.875
4,2022-03-23 15:00:00,443.82,351.8,203.93,170.11,299.41,256.15,154.25,73.91,182.14,88.0,81.74
