,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-09-17 09:00:00,335.7099,269.586,153.59,110.1752,202.3984,492.509,113.11,64.45,146.19,61.63,84.475
1,2020-09-17 10:30:00,335.19,268.85,153.455,110.27,201.45,493.87,113.0501,64.28,145.9,62.0272,84.44
2,2020-09-17 12:00:00,334.0601,268.43,153.56,109.8401,201.8501,495.4512,113.03,63.97,145.17,61.525,84.4681
3,2020-09-17 13:30:00,334.02,268.52,153.66,109.4227,201.55,494.7707,112.92,64.015,145.16,61.7,84.53
4,2020-09-17 15:00:00,335.88,270.38,153.74,110.3943,202.95,498.5453,113.7306,64.27,145.95,61.68,84.53
