,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2023-01-26 09:00:00,402.69,291.39,187.61,143.53,244.92,195.64,135.21,73.02,144.27,74.71,76.29
1,2023-01-26 10:30:00,401.71,290.14,187.14,142.69,244.63,194.5501,134.66,72.97,143.26,74.85,76.2
2,2023-01-26 12:00:00,402.305,290.8,187.29,142.87,244.18,195.44,134.8,73.145,143.64,74.75,76.34
3,2023-01-26 13:30:00,403.4627,292.177,187.75,143.515,246.16,197.585,135.5,73.105,144.11,75.0015,76.465
4,2023-01-26 15:00:00,404.775,293.46,188.6,143.95,248.18,198.14,136.14,73.08,144.62,75.37,76.42
