,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-03-03 09:00:00,384.11,313.3581,220.78,123.75,229.94,521.12,130.85,63.77,161.39,83.425,86.73
1,2021-03-03 10:30:00,385.45,314.41,223.23,124.08,230.66,522.33,131.24,63.8,162.02,84.63,86.745
2,2021-03-03 12:00:00,385.44,313.3,223.45,123.9,229.3701,520.1,130.84,63.88,162.0399,85.1,86.785
3,2021-03-03 13:30:00,384.0501,311.22,221.9,122.83,228.3274,517.68,130.08,63.9,160.94,84.62,86.785
4,2021-03-03 15:00:00,381.42,309.21,219.33,122.0099,227.67,512.145,129.37,63.51,159.2,84.04,86.7
