,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-08-04 09:00:00,413.575,322.22,189.54,164.975,281.21,190.11,146.2533,75.01,166.91,78.6582,78.23
1,2022-08-04 10:30:00,414.3,323.2,189.075,165.3838,282.77,190.3199,146.81,74.945,167.08,78.62,78.195
2,2022-08-04 12:00:00,414.29,323.62,189.73,165.455,282.765,191.29,146.89,74.6807,167.39,78.8446,78.36
3,2022-08-04 13:30:00,414.2306,323.9401,189.57,165.555,283.08,191.9888,147.07,74.85,167.11,78.993,78.31
4,2022-08-04 15:00:00,414.09,324.24,189.45,165.77,283.63,192.15,147.35,74.8,167.13,78.84,78.42
