,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-01-28 09:00:00,378.94,322.72,211.4,139.57,238.08,524.98,132.72,65.97,165.77,72.12,87.285
1,2021-01-28 10:30:00,380.61,324.341,209.84,139.07,240.04,525.84,133.16,65.835,166.99,71.9501,87.445
2,2021-01-28 12:00:00,381.19,325.63,209.07,140.14,241.17,530.2699,133.74,65.76,167.06,71.8315,87.36
3,2021-01-28 13:30:00,380.671,324.92,210.53,139.319,241.17,528.47,133.55,65.775,167.34,71.89,87.31
4,2021-01-28 15:00:00,377.5,321.341,208.89,136.88,239.01,521.47,132.02,65.425,165.82,71.6,87.195
