,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-08-11 09:00:00,443.65,366.85,221.73,145.81,286.925,198.0205,153.15,72.06,182.15,85.2,87.13
1,2021-08-11 10:30:00,442.78,365.3,220.84,145.89,286.31,195.14,152.78,72.18,181.24,84.9584,87.015
2,2021-08-11 12:00:00,443.42900000000003,366.21,222.19,146.3431,286.91,196.8634,153.38,71.93,181.76,85.54,87.125
3,2021-08-11 13:30:00,443.39,366.03,223.03,145.9619,286.88,196.79,153.24,72.035,181.85,85.88,87.09
4,2021-08-11 15:00:00,443.68,366.18,223.69,145.86,286.98,197.0,153.26,71.95,181.96,86.16,87.125
