,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-06-16 09:00:00,315.42,244.03,146.19,351.8633,195.07,358.79,103.27,59.965,129.81,55.335,84.22
1,2020-06-16 10:30:00,312.18,242.45,144.04,350.22,193.82,360.78,102.43,59.43,128.62,54.515,83.58
2,2020-06-16 12:00:00,313.74,243.3,144.87,351.79,193.74,360.7,102.689,59.86,129.08,54.95,83.71
3,2020-06-16 13:30:00,313.09,242.61,144.93,351.3488,192.98,360.49,102.39,59.785,129.09,54.7835,83.62
4,2020-06-16 15:00:00,312.435,242.67,144.24,351.9,193.5,362.57,102.39,59.64,128.99,54.33,83.53
