,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2022-12-01 09:00:00,405.29,291.3999,186.38,146.7896,251.62,167.54,134.7,76.655,145.34,73.98,75.285
1,2022-12-01 10:30:00,406.82,293.03,187.5599,147.66,253.18,170.56,135.46,76.72,146.23,74.29,75.365
2,2022-12-01 12:00:00,406.6803,293.12,186.76,147.93,253.96,171.3828,135.71,76.725,146.2017,74.27,75.49
3,2022-12-01 13:30:00,407.85,294.21,187.265,148.7734,255.73,172.11,136.5121,76.925,146.12,74.375,75.405
4,2022-12-01 15:00:00,407.5199,293.81,186.99,148.43,254.79,171.4115,136.17,76.85,146.16,74.15,75.6
