,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-08-21 09:00:00,338.495,281.12,154.15,486.985,215.06799999999998,498.5337,117.2823,64.05,145.7,58.72,84.74
1,2020-08-21 10:30:00,337.96,280.33,154.43,488.24,213.53,502.66,117.05,64.06,145.5501,58.82,84.645
2,2020-08-21 12:00:00,338.595,281.2,154.0,489.5947,213.47,510.0301,117.39,64.18,145.97,58.645,84.675
3,2020-08-21 13:30:00,339.34,281.88,154.2509,495.99,213.52,505.19,117.81,64.305,146.155,58.71,84.71
4,2020-08-21 15:00:00,339.45,281.87,154.61,497.48,213.02,507.34,117.91,64.3,146.18,58.65,84.73
