,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-11-11 09:00:00,464.27,391.24,238.84,148.435,332.8502,298.59,165.24,72.79,204.01,96.955,86.985
1,2021-11-11 10:30:00,464.681,391.86,239.27,148.265,333.36,300.715,165.465,72.87,204.3,97.24,86.95
2,2021-11-11 12:00:00,464.28,391.14,239.815,147.79,333.26,302.0299,165.44,72.7641,203.28,97.1674,86.905
3,2021-11-11 13:30:00,464.29,391.06,239.3362,148.0619,332.51,303.7574,165.4,72.88,203.44,97.2283,86.915
4,2021-11-11 15:00:00,463.78,390.57,239.26,147.87,332.46,303.91,165.34,72.84,203.11,97.08,86.82
