,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-05-14 09:00:00,277.3699,216.12,118.69,301.86,175.8813,308.2049,90.31,56.14,110.62,43.5891,78.17
1,2020-05-14 10:30:00,279.71,217.275,120.42,304.14,176.53,310.129,90.9101,56.395,111.755,44.0,78.36
2,2020-05-14 12:00:00,283.33,219.65,122.7325,306.94,178.15,314.65,91.87,56.989,113.18,44.5731,78.86
3,2020-05-14 13:30:00,282.185,219.35,121.5,306.0329,177.93,317.43,91.87,56.65,112.93,44.3012,78.5
4,2020-05-14 15:00:00,284.97,221.72,123.235,309.54,180.53,321.3,93.02,56.84,114.16,45.09,78.635
