,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-06-15 09:00:00,424.36,343.035,229.29,129.705,259.5801,715.77,142.87,70.98,172.37,87.88,87.51
1,2021-06-15 10:30:00,423.93,342.88,228.77,129.93,259.4504,714.76,142.975,70.77,171.83,87.531,87.48
2,2021-06-15 12:00:00,424.115,342.2793,230.03,129.755,258.23,715.2808,142.6,70.72,172.0,88.17,87.495
3,2021-06-15 13:30:00,424.74,342.08,230.54,129.7,258.1,713.82,142.53,70.785,172.25,88.34,87.53
4,2021-06-15 15:00:00,424.18,341.92,230.36,129.56,258.39,710.925,142.42,70.68,172.2,88.2,87.53
