,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-09-21 09:00:00,435.26,366.6,217.5,143.72,295.54,211.235,152.7,70.47,180.48,84.81,87.77
1,2021-09-21 10:30:00,435.835,367.78,217.79,143.965,296.42,213.0601,153.1982,70.4299,180.92,84.645,87.77
2,2021-09-21 12:00:00,434.3299,366.1,217.46,143.465,294.7501,212.16,152.51,70.13,180.09,84.8475,87.77
3,2021-09-21 13:30:00,434.94,367.19,217.975,143.83,296.0931,213.36,153.0,70.13,180.36,84.97,87.82
4,2021-09-21 15:00:00,433.68,366.04,217.5,143.44,294.78,212.38,152.44,70.12,179.96,84.9,87.84
