,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-10-20 09:00:00,344.22,284.855,161.51,116.86,215.945,544.5399,119.52,65.79,152.35,61.33,84.542
1,2020-10-20 10:30:00,344.17,284.94,161.87,117.17,214.88,546.55,119.52,65.6,152.91,61.815,84.635
2,2020-10-20 12:00:00,346.4,286.92,162.23,118.5126,216.45,548.67,120.31,65.855,153.8313,62.1,84.725
3,2020-10-20 13:30:00,345.06199999999995,286.12,161.31,117.9997,216.17,548.8,119.93,65.52,152.88,61.8733,84.615
4,2020-10-20 15:00:00,343.45,284.53,160.7,117.48,214.55,546.17,119.31,65.26,152.18,61.72,84.61
