,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-02-24 09:00:00,324.34,222.8,162.1,300.18,172.39,277.9885,95.91,63.88,126.51,63.7501,87.435
1,2020-02-24 10:30:00,323.57,222.048,161.9,299.775,171.9,277.0219,95.75,63.655,126.16,63.25,87.42
2,2020-02-24 12:00:00,322.52,221.45,161.65,299.77,171.8011,274.2,95.55,63.25,125.73,63.1337,87.325
3,2020-02-24 13:30:00,324.69,223.34,162.64,302.2064,173.83,277.5235,96.36,63.49,126.62,63.6701,87.53
4,2020-02-24 15:00:00,322.51,221.47,162.1,298.29,170.76,273.09,95.33,63.155,125.85,63.6701,87.385
