,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-07-14 09:00:00,314.325,255.47,140.13,379.1201,204.71,396.05,104.8,60.61,131.17,53.06100000000001,82.325
1,2020-07-14 10:30:00,316.02,257.67,140.89,382.19,206.06,404.97,105.67,60.77,131.86,53.545,82.345
2,2020-07-14 12:00:00,315.51,257.3,140.2,381.83,206.4707,404.85,105.679,60.8823,131.44,53.4,82.525
3,2020-07-14 13:30:00,317.3899,258.8299,141.0,386.5699,206.8901,412.1814,106.435,60.925,132.11,53.65,82.54
4,2020-07-14 15:00:00,318.98,260.55,141.94,388.66,208.4,415.63,107.09,61.1,132.93,53.76,82.77
