,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-11-25 09:00:00,469.44,398.76,231.58,161.94,337.91,326.74,170.24,72.88,209.79,96.2,86.09
1,2021-11-25 10:30:00,469.44,398.76,231.58,161.94,337.91,326.74,170.24,72.88,209.79,96.2,86.09
2,2021-11-25 12:00:00,469.44,398.76,231.58,161.94,337.91,326.74,170.24,72.88,209.79,96.2,86.09
3,2021-11-25 13:30:00,469.44,398.76,231.58,161.94,337.91,326.74,170.24,72.88,209.79,96.2,86.09
4,2021-11-25 15:00:00,469.44,398.76,231.58,161.94,337.91,326.74,170.24,72.88,209.79,96.2,86.09
