,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2020-09-25 09:00:00,324.02,266.86,145.32,109.89,205.0,498.04,112.02,62.51,142.07,57.5,82.89
1,2020-09-25 10:30:00,324.36,267.57,144.67,109.8787,205.56,503.425,112.2,62.47,142.05,57.6694,82.96
2,2020-09-25 12:00:00,326.2,268.97,145.85,110.7405,206.38,507.4252,112.865,62.68,142.96,57.946999999999996,83.0
3,2020-09-25 13:30:00,328.095,270.95,146.32,111.75299999999999,207.71,511.86,113.6801,62.9,143.76,57.7941,83.0834
4,2020-09-25 15:00:00,328.69,271.61,146.4,112.21,207.79,515.04,113.94,63.04,143.91,57.875,82.95
