,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-03-19 09:00:00,388.8325,311.97,225.24,120.1401,230.6135,510.47,129.72,66.415,165.1,87.2505,85.81
1,2021-03-19 10:30:00,390.59,313.7,227.9,120.49,231.49,512.8,130.1,66.475,165.98,87.69,86.0157
2,2021-03-19 12:00:00,390.939,314.3,227.795,120.603,231.5999,516.28,130.42,66.385,166.17,87.9818,86.07
3,2021-03-19 13:30:00,391.48,314.41,227.28,120.1308,231.55,513.59,130.3,66.54,166.7701,88.095,86.0925
4,2021-03-19 15:00:00,389.73,313.6,227.06,119.94,230.09,514.21,129.63,66.34,166.48,88.08,86.1
