,TimeStamp,SPY,QQQ,IWM,AAPL,MSFT,NVDA,XLK,XLP,XLY,XTN,HYG
0,2021-10-20 09:00:00,452.49,376.35,227.3788,149.455,308.55,223.56,158.97,70.78,191.31,89.8891,87.23
1,2021-10-20 10:30:00,452.51,375.915,227.8,149.67,307.22,222.24,158.635,70.87,191.36,90.05,87.215
2,2021-10-20 12:00:00,451.7999,374.11699999999996,227.27,148.3982,306.36,220.55,157.92,71.04,190.72,89.82,87.22
3,2021-10-20 13:30:00,452.2,374.72,227.18,148.805,307.23,220.475,158.24,70.97,190.61,89.789,87.255
4,2021-10-20 15:00:00,452.39,374.98,227.33,149.35,307.54,221.08,158.33,70.83,190.6,89.87,87.26
