Stock,Open,Close,High,Low
SPY,287.68,292.44,292.73,287.68
QQQ,221.82,224.75,224.96,221.82
IWM,127.44,132.31,132.5,127.44
AAPL,303.74,310.0594,310.26,303.74
MSFT,183.6,184.49,184.9797,183.386
NVDA,304.87,312.66,312.68,304.87
XLK,93.41,94.75,94.82,93.41
XLP,56.85,58.13,58.21,56.85
XLY,115.02,117.25,117.34,115.02
XTN,46.33,48.2,48.275,46.33
HYG,79.0,79.74,79.76,79.0
