Stock,Open,Close,High,Low
SPY,365.97,357.7,370.2,356.98
QQQ,268.82,260.65,271.76,260.15
IWM,171.4,166.87,173.9,166.72
AAPL,142.99,138.47,144.47,138.195
MSFT,234.24,228.79,237.2,228.38
NVDA,119.6,112.34,121.02,112.065
XLK,120.18,116.82,121.41,116.625
XLP,68.77,67.55,69.26,67.42
XLY,140.52,135.3,142.62,135.05
XTN,66.54,65.65,67.42,65.53
HYG,71.74,71.51,72.37,71.33
