Stock,Open,Close,High,Low
SPY,434.23,434.23,434.23,434.23
QQQ,341.51,341.51,341.51,341.51
IWM,199.47,199.47,199.47,199.47
AAPL,167.3,167.3,167.3,167.3
MSFT,287.93,287.93,287.93,287.93
NVDA,236.42,236.42,236.42,236.42
XLK,152.44,152.44,152.44,152.44
XLP,76.03,76.03,76.03,76.03
XLY,180.0,180.0,180.0,180.0
XTN,87.0,87.0,87.0,87.0
HYG,82.89,82.89,82.89,82.89
