Stock,Open,Close,High,Low
SPY,395.18,396.61,396.71,390.07
QQQ,299.27,299.63,299.74,292.97
IWM,183.5,181.53,183.5,178.9
AAPL,157.22,158.26,158.32,154.69
MSFT,261.47,260.68,261.47,255.42
NVDA,150.94,139.46,150.94,132.766
XLK,135.26,134.7,135.26,131.78
XLP,73.11,73.63,73.66,72.59
XLY,155.51,157.0,157.04,152.93
XTN,72.74,72.74,72.74,71.5181
HYG,74.16396,74.37,74.41,73.61
