Stock,Open,Close,High,Low
SPY,297.51,293.77,297.51,285.56
QQQ,205.64,205.32,207.11,198.24
IWM,149.06,146.611,149.06,143.92
AAPL,273.52,272.59,278.22,256.53
MSFT,158.18,161.605,163.615,152.0
NVDA,252.6,267.99,272.23,241.79
XLK,87.7,87.905,89.19,84.09
XLP,59.16,57.675,59.16,56.045
XLY,116.58,115.18,116.58,112.55
XTN,55.69,55.0,55.69,53.7
HYG,85.69,86.045,86.14,84.75
