Stock,Open,Close,High,Low
SPY,415.19,410.73,415.19,409.95
QQQ,309.88,304.43,309.88,303.69
IWM,195.58,192.7,195.58,192.21
AAPL,154.65,151.9401,154.65,151.168
MSFT,267.56,266.94,276.75,266.245
NVDA,221.73,222.06,228.51,220.175
XLK,143.54,141.8,144.58,141.53
XLP,73.18,72.615,73.18,72.49
XLY,151.48,150.17,151.48,149.16
XTN,81.88,81.48,82.075,81.206
HYG,76.17,75.86,76.17,75.711
