Stock,Open,Close,High,Low
SPY,401.04,406.06,406.77,398.19
QQQ,306.81,309.81,310.3965,302.76
IWM,183.41,185.92,186.14,181.77
AAPL,156.79,157.32,157.63,154.41
MSFT,268.74,276.43,277.82,267.94
NVDA,177.9,179.8843,181.3182,174.42
XLK,139.91,141.99,142.35,138.84
XLP,73.89,75.08,75.225,73.81
XLY,154.1,156.73,157.0,152.57
XTN,72.8,75.28,75.31,72.8
HYG,77.17,77.97,78.02,77.17
