Stock,Open,Close,High,Low
SPY,356.28,358.15,358.1696,354.187
QQQ,290.11,292.45,292.66,288.88
IWM,175.96,177.57,177.58,175.09
AAPL,118.03,118.76,118.95,116.82
MSFT,211.08,212.5301,212.99,209.93
NVDA,537.15,537.93,539.5,524.27
XLK,120.39,121.5,121.58,119.65
XLP,66.74,66.985,67.02,66.395
XLY,153.74,154.56,154.65,153.38
XTN,68.4,68.51,68.51,67.591
HYG,85.79,86.08,86.135,85.65
