Stock,Open,Close,High,Low
SPY,419.43,416.64,427.17,415.28
QQQ,324.86,323.53,333.1685,320.11
IWM,193.72,194.855,199.55,193.46
AAPL,159.3,157.64,162.87,155.83
MSFT,278.91,276.01,283.925,270.0
NVDA,213.52,215.25,223.68,206.54
XLK,144.27,143.73,148.02,141.52
XLP,74.49,72.51,74.75,72.43
XLY,163.19,163.61,168.69,161.71
XTN,80.06,81.28,83.25,79.78
HYG,81.82,81.54,82.09,81.5
