Stock,Open,Close,High,Low
SPY,368.5,365.4,372.58,364.63
QQQ,270.49,269.03,274.81,267.93
IWM,171.21,169.01,173.52,168.47
AAPL,143.86,143.31,145.8899,142.65
MSFT,236.48,236.05,241.3,234.925
NVDA,120.51,121.8629,127.6159,120.51
XLK,121.03,121.06,123.72,120.5004
XLP,68.83,67.88,69.0,67.81
XLY,141.1,138.37,141.78,137.92
XTN,66.8,65.51,66.96,65.43
HYG,72.2,71.81,72.74,71.73
