Stock,Open,Close,High,Low
SPY,377.09,373.23,378.67,372.7199
QQQ,281.98,279.73,284.1475,279.4573
IWM,174.7,173.69,176.14,172.91
AAPL,146.4,145.35,147.53,145.245
MSFT,249.2,246.65,250.31,246.23
NVDA,132.09,131.245,136.49,131.11
XLK,126.99,125.92,128.02,125.81
XLP,68.51,67.52,68.61,67.365
XLY,146.7,145.64,147.805,145.025
XTN,67.75,67.74,68.035,67.23
HYG,73.23,73.01,73.44,72.9
