Stock,Open,Close,High,Low
SPY,453.94,458.37,458.38,453.94
QQQ,380.0,384.22,384.48,380.0
IWM,223.65,228.07,228.26,223.65
AAPL,148.85,152.57,153.159,148.85
MSFT,323.17,324.35,324.86,321.3892
NVDA,244.51,249.41,249.41,244.51
XLK,159.24,160.84,160.95,159.24
XLP,71.07,71.32,71.35,70.99
XLY,198.0,200.56,201.22,198.0
XTN,89.5,91.32,91.32,89.5
HYG,86.94,87.16,87.16,86.94
