Stock,Open,Close,High,Low
SPY,400.61,400.61,400.61,400.61
QQQ,324.57,324.57,324.57,324.57
IWM,223.74,223.74,223.74,223.74
AAPL,123.0,123.0,123.0,123.0
MSFT,242.35,242.35,242.35,242.35
NVDA,552.47,552.47,552.47,552.47
XLK,135.48,135.48,135.48,135.48
XLP,67.98,67.98,67.98,67.98
XLY,169.42,169.42,169.42,169.42
XTN,88.36,88.36,88.36,88.36
HYG,87.07,87.07,87.07,87.07
